tratamento,codes,time_dai,rep,leaf,sev
UCBV26,chloro 3,5,3,3,0.202456641
UCBV26,chloro 3,5,3,4,0.500148655
UCBV26,chloro 3,5,4,1,5.623031371
UCBV26,chloro 3,5,4,2,2.13629594
UCBV26,chloro 3,5,4,3,1.479670128
UCBV26,chloro 3,5,4,4,0.848908756
UCBV12,chloro 4,5,1,1,15.90493942
UCBV12,chloro 4,5,1,2,9.484226067
UCBV12,chloro 4,5,1,3,8.739428844
UCBV12,chloro 4,5,1,4,4.468113423
UCBV12,chloro 4,5,2,1,11.94839904
UCBV12,chloro 4,5,2,2,4.431366792
UCBV12,chloro 4,5,2,3,20.42207665
UCBV12,chloro 4,5,2,4,4.007925948
UCBV12,chloro 4,5,3,1,8.354043616
UCBV12,chloro 4,5,3,2,4.786730405
UCBV12,chloro 4,5,3,3,7.232943111
UCBV12,chloro 4,5,3,4,3.43118402
UCBV12,chloro 4,5,4,1,3.451626288
UCBV12,chloro 4,5,4,2,1.308744283
UCBV12,chloro 4,5,4,3,1.680807834
UCBV12,chloro 4,5,4,4,0.298743841
UCBV03,pseud 1,5,1,1,2.840133582
UCBV03,pseud 1,5,1,2,2.535724765
UCBV03,pseud 1,5,1,3,2.436170917
UCBV03,pseud 1,5,1,4,
UCBV03,pseud 1,5,2,1,4.044068305
UCBV03,pseud 1,5,2,2,1.044059117
UCBV03,pseud 1,5,2,3,0.834164411
UCBV03,pseud 1,5,2,4,0.720183378
UCBV03,pseud 1,5,3,1,2.413142215
UCBV03,pseud 1,5,3,2,1.150244217
UCBV03,pseud 1,5,3,3,1.244673816
UCBV03,pseud 1,5,3,4,0.657998564
UCBV03,pseud 1,5,4,1,3.794019976
UCBV03,pseud 1,5,4,2,2.247444656
UCBV03,pseud 1,5,4,3,6.655050744
UCBV03,pseud 1,5,4,4,
UCBV14,pseud 4,5,1,1,1.634807258
UCBV14,pseud 4,5,1,2,1.286999086
UCBV14,pseud 4,5,1,3,2.405474615
UCBV14,pseud 4,5,1,4,0.614176489
UCBV14,pseud 4,5,2,1,0.4945991
UCBV14,pseud 4,5,2,2,0.621146057
UCBV14,pseud 4,5,2,3,1.824307847
UCBV14,pseud 4,5,2,4,0.732066128
UCBV14,pseud 4,5,3,1,5.928088738
UCBV14,pseud 4,5,3,2,1.272439766
UCBV14,pseud 4,5,3,3,2.010281284
UCBV14,pseud 4,5,3,4,1.990975686
UCBV14,pseud 4,5,4,1,8.259476063
UCBV14,pseud 4,5,4,2,1.649380624
UCBV14,pseud 4,5,4,3,4.286033197
UCBV14,pseud 4,5,4,4,9.656845575
alter,CHECK,5,1,1,
alter,CHECK,5,1,2,
alter,CHECK,5,1,3,
alter,CHECK,5,1,4,
alter,CHECK,5,2,1,7.860044179
alter,CHECK,5,2,2,16.61076874
alter,CHECK,5,2,3,4.731367105
alter,CHECK,5,2,4,6.135045472
alter,CHECK,5,3,1,17.84611349
alter,CHECK,5,3,2,5.321079571
alter,CHECK,5,3,3,17.93898492
alter,CHECK,5,3,4,7.385400981
alter,CHECK,5,4,1,24.7681243
alter,CHECK,5,4,2,35.55045655
alter,CHECK,5,4,3,
alter,CHECK,5,4,4,
